Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.74875,0.00021,0.1500,-0.3300,0.0001,0.076138,7.0000,81.440,1000.0,0.600,AUD/USD
Copper,2.2623,0.00200,0.0000,0.0000,0.0010,0.076145,0.0000,0.000,1.0,0.000, 
EUR/CHF,1.08473,0.00021,0.0300,-0.1400,0.0001,0.077283,75.0000,11.178,1000.0,0.800,EUR/CHF
EUR/JPY,116.9840,0.02400,0.0100,-0.1100,0.0100,0.071660,10.0000,83.831,1000.0,0.800,EUR/JPY
EUR/USD,1.10102,0.00013,-0.4400,0.2000,0.0001,0.076137,10.0000,83.829,1000.0,0.600,EUR/USD
GBP/USD,1.31349,0.00017,-0.0500,-0.1200,0.0001,0.076138,10.0000,100.007,1000.0,0.600,GBP/USD
GER30,9987.84,0.79000,-0.0605,0.0000,1.0000,0.083823,6.5000,128.802,1.0,0.000,GER30
JPN225,16651.00,10.0000,-0.0076,0.0000,1.0000,0.071677,3.0000,397.832,10.0,0.000, 
NAS100,4609.40,1.00000,-0.0378,-0.0900,1.0000,0.076138,1.5000,233.967,1.0,0.000,NAS100
NATG,0.00000,0.00000,0.0000,0.0000,0.0000,0.000000,0.0000,0.000,0.0,0.000, 
NGAS,2.7460,0.01000,0.0000,0.0000,0.0010,0.076145,7.0000,29.871,1.0,0.000, 
NZD/USD,0.70360,0.00020,0.1500,-0.3400,0.0001,0.076138,6.0000,89.285,1000.0,0.800,NZD/USD
SPX500,2163.12,0.50000,-0.0151,-0.2042,0.1000,0.076126,8.5000,193.728,1.0,0.000,SPX500
UK100,6696.30,1.00000,-0.0681,0.0000,1.0000,0.100000,6.5000,103.020,1.0,0.000,UK100
UKOil,46.9000,0.05000,0.0000,0.0000,0.0100,0.076138,10.0000,35.709,1.0,0.000, 
US30,18535.00,2.0000,0.1135,-0.3479,1.0000,0.076138,7.0000,201.603,1.0,0.000,US30
USD/CAD,1.30334,0.00023,0.0100,-0.0500,0.0001,0.058423,9.0000,84.606,1000.0,0.800,USD/CAD
USD/CHF,0.98524,0.00015,0.2300,-0.5400,0.0001,0.077286,45.0000,16.921,1000.0,0.600,USD/CHF
USD/JPY,106.2510,0.01200,0.2000,-0.4500,0.0100,0.071660,9.0000,84.599,1000.0,0.600,USD/JPY
USOil,44.9600,0.05000,0.0000,0.0000,0.0100,0.076138,9.5000,36.033,1.0,0.000, 
XAG/USD,19.9430,0.04800,-0.0074,-0.0015,0.0100,0.380654,7.5000,101.218,50.0,0.000,XAG/USD
XAU/USD,1331.66,0.48000,-0.0074,0.0000,0.0100,0.007614,5.5000,184.345,1.0,0.000,XAU/USD
