Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AGG,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#AOK,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
DIA,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#EFA,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#EWG,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
##EWH,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
EWJ,50,0.01,0,0,0.01,0.01,0,4,1,0.02,  
#FAS,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#HEDJ,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
##ITB,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
IVV,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
IWM,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
IYR,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#JNK,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
KBE,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
KRE,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
LQD,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
QQQ,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
SMH,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#SPLV,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
##SPY,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
SSO,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
TLT,50,0.01,0,0,0.01,0.01,0,4,1,0.02,  
#TQQQ,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#USMV,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#VGLT,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
VNQ,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
##VTI,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
##XBI,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XHB,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XLB,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
#XLE,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XLF,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XLI,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XLK,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XLP,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XLU,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XLV,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XLY,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
XRT,50,0.01,0,0,0.01,0.01,0,4,1,0.02, 
