
FastGrid 
Login FXCM.. at UTC 07.06. 20:03
Loading USD/CAD prices.. 9000 min

Trade: FastGrid USD/CAD 07.06.2016
Lookback period (80 bars)
[66: Thu 02.06.16 10:00]  1.30818
[67: Thu 02.06.16 11:00]  1.30976
[68: Thu 02.06.16 12:00]  1.31024
[69: Thu 02.06.16 13:00]  1.31005
[70: Thu 02.06.16 14:00]  1.31224
[71: Thu 02.06.16 15:00]  1.31098
[72: Thu 02.06.16 16:00]  1.31152
[73: Thu 02.06.16 17:00]  1.30817
[74: Thu 02.06.16 18:00]  1.30831
[75: Thu 02.06.16 19:00]  1.30987
[76: Thu 02.06.16 20:00]  1.31149
[77: Thu 02.06.16 21:00]  1.31057
[78: Thu 02.06.16 22:00]  1.30975
[79: Thu 02.06.16 23:00]  1.31013
[80: Fri 03.06.16 00:00]  1.31043
[81: Fri 03.06.16 01:00]  1.30974
[82: Fri 03.06.16 02:00]  1.31051
[83: Fri 03.06.16 03:00]  1.30907
[84: Fri 03.06.16 04:00]  1.30936
[85: Fri 03.06.16 05:00]  1.30939
[86: Fri 03.06.16 06:00]  1.30959
[87: Fri 03.06.16 07:00]  1.30926
[88: Fri 03.06.16 08:00]  1.30966
[89: Fri 03.06.16 09:00]  1.30852
[90: Fri 03.06.16 10:00]  1.30899
[91: Fri 03.06.16 11:00]  1.30965
[92: Fri 03.06.16 12:00]  1.30965
[93: Fri 03.06.16 13:00]  1.30937
[94: Fri 03.06.16 14:00]  1.29663
[95: Fri 03.06.16 15:00]  1.29387
[96: Fri 03.06.16 16:00]  1.29603
[97: Fri 03.06.16 17:00]  1.29501
[98: Fri 03.06.16 18:00]  1.29564
[99: Fri 03.06.16 19:00]  1.29416.
[100: Sun 05.06.16 23:00]  1.29227
[101: Mon 06.06.16 00:00]  1.29460
[102: Mon 06.06.16 01:00]  1.29593
[103: Mon 06.06.16 02:00]  1.29661
[104: Mon 06.06.16 03:00]  1.29682
[105: Mon 06.06.16 04:00]  1.29723
[106: Mon 06.06.16 05:00]  1.29701
[107: Mon 06.06.16 06:00]  1.29710
[108: Mon 06.06.16 07:00]  1.29742
[109: Mon 06.06.16 08:00]  1.29750
[110: Mon 06.06.16 09:00]  1.29493
[111: Mon 06.06.16 10:00]  1.29536
[112: Mon 06.06.16 11:00]  1.29518
[113: Mon 06.06.16 12:00]  1.29602
[114: Mon 06.06.16 13:00]  1.29416
[115: Mon 06.06.16 14:00]  1.29216
[116: Mon 06.06.16 15:00]  1.28704
[117: Mon 06.06.16 16:00]  1.28410
[118: Mon 06.06.16 17:00]  1.28601
[119: Mon 06.06.16 18:00]  1.28451
[120: Mon 06.06.16 19:00]  1.28297
[121: Mon 06.06.16 20:00]  1.28115
[122: Mon 06.06.16 21:00]  1.28082
[123: Mon 06.06.16 22:00]  1.28201
[124: Mon 06.06.16 23:00]  1.28295
[125: Tue 07.06.16 00:00]  1.28222
[126: Tue 07.06.16 01:00]  1.28165
[127: Tue 07.06.16 02:00]  1.28209
[128: Tue 07.06.16 03:00]  1.28352
[129: Tue 07.06.16 04:00]  1.28327
[130: Tue 07.06.16 05:00]  1.28342
[131: Tue 07.06.16 06:00]  1.28194
[132: Tue 07.06.16 07:00]  1.28241
[133: Tue 07.06.16 08:00]  1.28164
[134: Tue 07.06.16 09:00]  1.27886
[135: Tue 07.06.16 10:00]  1.27761
[136: Tue 07.06.16 11:00]  1.27831
[137: Tue 07.06.16 12:00]  1.27835
[138: Tue 07.06.16 13:00]  1.27785
[139: Tue 07.06.16 14:00]  1.27773
[140: Tue 07.06.16 15:00]  1.27866
[141: Tue 07.06.16 16:00]  1.27983
[142: Tue 07.06.16 17:00]  1.27914
[143: Tue 07.06.16 18:00]  1.27962
[144: Tue 07.06.16 19:00]  1.27811
[145: Tue 07.06.16 20:00]  1.27685
.
[146: Tue 07.06.16 21:00]  1.27712
{USD/CAD::s} Short 10@1.2640 Entry stop
{USD/CAD::s} Short 10@1.2660 Entry stop
{USD/CAD::s} Short 10@1.2680 Entry stop
{USD/CAD::s} Short 10@1.2700 Entry stop
{USD/CAD::s} Short 10@1.2720 Entry stop
{USD/CAD::l} Long 10@1.2740 Entry stop
{USD/CAD::l} Long 10@1.2760 Entry stop
{USD/CAD::l} Long 10@1.2780 Entry stop
{USD/CAD::l} Long 10@1.2800 Entry stop
{USD/CAD::l} Entry stop 1.2740 hit at 21:01
{USD/CAD::l4702} Long 10@1.2740 ps at 21:01
[USD/CAD::L7329] Long 10@1.2740 Pool trade at 21:01
{USD/CAD::l4702} Sell 10@1.2752: +2.93 at 21:25
[USD/CAD::L7329] Sell 10@1.2752: +3.72 at 21:25
Logout.. ok
