
TradeCosts 
Login FXCM.. at UTC 07.06. 17:43
Loading AUD/USD prices.. 3529 h
Loading EUR/USD prices.. 3531 h
Loading EUR/CHF prices.. 3532 h
Loading GBP/USD prices.. 3532 h
Loading USD/CAD prices.. 3533 h
Loading USD/CHF prices.. 3531 h
Loading USD/JPY prices.. 3528 h

Trade: TradeCosts portfolio 07.06.2016
Lookback period (80 bars)
[66: Wed 17.02.16 00:00]  0.71736
[67: Thu 18.02.16 00:00]  0.71084
[68: Fri 19.02.16 00:00]  0.71524
[69: Mon 22.02.16 00:00]  0.71316
[70: Tue 23.02.16 00:00]  0.71572
[71: Wed 24.02.16 00:00]  0.72293
[72: Thu 25.02.16 00:00]  0.72049
[73: Fri 26.02.16 00:00]  0.71640
[74: Mon 29.02.16 00:00]  0.72477
[75: Tue 01.03.16 00:00]  0.71253
[76: Wed 02.03.16 00:00]  0.71239
[77: Thu 03.03.16 00:00]  0.72229
[78: Fri 04.03.16 00:00]  0.72900
[79: Mon 07.03.16 00:00]  0.73473
[80: Tue 08.03.16 00:00]  0.74169
[81: Wed 09.03.16 00:00]  0.74514
[82: Thu 10.03.16 00:00]  0.74286
[83: Fri 11.03.16 00:00]  0.74701
[84: Mon 14.03.16 00:00]  0.74523
[85: Tue 15.03.16 00:00]  0.75754
[86: Wed 16.03.16 00:00]  0.74925
[87: Thu 17.03.16 00:00]  0.74664
[88: Fri 18.03.16 00:00]  0.75916
[89: Mon 21.03.16 00:00]  0.76516
[90: Tue 22.03.16 00:00]  0.75872
[91: Wed 23.03.16 00:00]  0.75732
[92: Thu 24.03.16 00:00]  0.76366
[93: Fri 25.03.16 00:00]  0.75047
[94: Mon 28.03.16 00:00]  0.75151
[95: Tue 29.03.16 00:00]  0.75012
[96: Wed 30.03.16 00:00]  0.75458
[97: Thu 31.03.16 00:00]  0.76323
[98: Fri 01.04.16 00:00]  0.76620
[99: Mon 04.04.16 00:00]  0.76977.
[100: Tue 05.04.16 00:00]  0.76688
[101: Wed 06.04.16 00:00]  0.75916
[102: Thu 07.04.16 00:00]  0.75490
[103: Fri 08.04.16 00:00]  0.76156
[104: Mon 11.04.16 00:00]  0.75194
[105: Tue 12.04.16 00:00]  0.75421
[106: Wed 13.04.16 00:00]  0.75936
[107: Thu 14.04.16 00:00]  0.76797
[108: Fri 15.04.16 00:00]  0.76344
[109: Mon 18.04.16 00:00]  0.76915
[110: Tue 19.04.16 00:00]  0.76518
[111: Wed 20.04.16 00:00]  0.77696
[112: Thu 21.04.16 00:00]  0.77945
[113: Fri 22.04.16 00:00]  0.77942
[114: Mon 25.04.16 00:00]  0.77622
[115: Tue 26.04.16 00:00]  0.76948
[116: Wed 27.04.16 00:00]  0.77131
[117: Thu 28.04.16 00:00]  0.77520
[118: Fri 29.04.16 00:00]  0.75904
[119: Mon 02.05.16 00:00]  0.76366
[120: Tue 03.05.16 00:00]  0.76120
[121: Wed 04.05.16 00:00]  0.76763
[122: Thu 05.05.16 00:00]  0.75014
[123: Fri 06.05.16 00:00]  0.74588
[124: Mon 09.05.16 00:00]  0.74639
[125: Tue 10.05.16 00:00]  0.73679
[126: Wed 11.05.16 00:00]  0.73066
[127: Thu 12.05.16 00:00]  0.73780
[128: Fri 13.05.16 00:00]  0.73705
[129: Mon 16.05.16 00:00]  0.73119
[130: Tue 17.05.16 00:00]  0.72758
[131: Wed 18.05.16 00:00]  0.72875
[132: Thu 19.05.16 00:00]  0.72947
[133: Fri 20.05.16 00:00]  0.72205
[134: Mon 23.05.16 00:00]  0.72290
[135: Tue 24.05.16 00:00]  0.72378
[136: Wed 25.05.16 00:00]  0.72155
[137: Thu 26.05.16 00:00]  0.71891
[138: Fri 27.05.16 00:00]  0.71870
[139: Mon 30.05.16 00:00]  0.72299
[140: Tue 31.05.16 00:00]  0.71737
[141: Wed 01.06.16 00:00]  0.71936
[142: Thu 02.06.16 00:00]  0.72431
[143: Fri 03.06.16 00:00]  0.72444
[144: Mon 06.06.16 00:00]  0.72253
[145: Tue 07.06.16 00:00]  0.73296

Logout.. ok
