
Z12 
Login FXCM.. at UTC 29.06. 15:07
Demo version
Z12.45: PH  M 100  H 5  W 2  V 2  
Loading EUR/USD prices.. 2357 h
Loading USD/CHF prices.. 2357 h
Loading GBP/USD prices.. 2360 h
Loading USD/CAD prices.. 2359 h
Loading USD/JPY prices.. 2356 h
Loading AUD/USD prices.. 2356 h
Loading NAS100 prices.. 2393 h
Loading SPX500 prices.. 2393 h
Loading US30 prices.. 2393 h
Loading GER30 prices.. 2386 h
Loading UK100 prices.. 2387 h
Loading XAU/USD prices.. 2399 h
Loading XAG/USD prices.. 2399 h

Trade: Z12 portfolio 29.06.2016
Read Z12.fac
Read Z12.par
Lookback period (500 bars) 
[67: Tue 01.03.16 12:20]  1.08739.
[68: Tue 01.03.16 16:20]  1.08794
[69: Tue 01.03.16 20:20]  1.08473
[70: Wed 02.03.16 00:20]  1.08684
[71: Wed 02.03.16 04:20]  1.08753
[72: Wed 02.03.16 08:20]  1.08589
[73: Wed 02.03.16 12:20]  1.08648
[74: Wed 02.03.16 16:20]  1.08573
[75: Wed 02.03.16 20:20]  1.08447
[76: Thu 03.03.16 00:20]  1.08666
[77: Thu 03.03.16 04:20]  1.08707
[78: Thu 03.03.16 08:20]  1.08595
[79: Thu 03.03.16 12:20]  1.08770
[80: Thu 03.03.16 16:20]  1.09075
[81: Thu 03.03.16 20:20]  1.09473
[82: Fri 04.03.16 00:20]  1.09624
[83: Fri 04.03.16 04:20]  1.09517
[84: Fri 04.03.16 08:20]  1.09472
[85: Fri 04.03.16 12:20]  1.09393
[86: Fri 04.03.16 16:20]  1.09722
[87: Mon 07.03.16 00:20]  1.10105
[88: Mon 07.03.16 04:20]  1.09961
[89: Mon 07.03.16 08:20]  1.09908
[90: Mon 07.03.16 12:20]  1.09489
[91: Mon 07.03.16 16:20]  1.09499
[92: Mon 07.03.16 20:20]  1.10042
[93: Tue 08.03.16 00:20]  1.10130
[94: Tue 08.03.16 04:20]  1.10184
[95: Tue 08.03.16 08:20]  1.10164
[96: Tue 08.03.16 12:20]  1.10287
[97: Tue 08.03.16 16:20]  1.10146
[98: Tue 08.03.16 20:20]  1.10276
[99: Wed 09.03.16 00:20]  1.10061
[100: Wed 09.03.16 04:20]  1.09963
[101: Wed 09.03.16 08:20]  1.09740
[102: Wed 09.03.16 12:20]  1.09768
[103: Wed 09.03.16 16:20]  1.09703
[104: Wed 09.03.16 20:20]  1.10216
[105: Thu 10.03.16 00:20]  1.10052
[106: Thu 10.03.16 04:20]  1.09833
[107: Thu 10.03.16 08:20]  1.09771
[108: Thu 10.03.16 12:20]  1.09643
[109: Thu 10.03.16 16:20]  1.08466
[110: Thu 10.03.16 20:20]  1.11603
[111: Fri 11.03.16 00:20]  1.11789
[112: Fri 11.03.16 04:20]  1.11856
[113: Fri 11.03.16 08:20]  1.11686
[114: Fri 11.03.16 12:20]  1.11139
[115: Fri 11.03.16 16:20]  1.10991
[116: Mon 14.03.16 00:20]  1.11790
[117: Mon 14.03.16 04:20]  1.11528
[118: Mon 14.03.16 08:20]  1.11639
[119: Mon 14.03.16 12:20]  1.11162
[120: Mon 14.03.16 16:20]  1.11264
[121: Mon 14.03.16 20:20]  1.11009
[122: Tue 15.03.16 00:20]  1.11067
[123: Tue 15.03.16 04:20]  1.11000
[124: Tue 15.03.16 08:20]  1.11079
[125: Tue 15.03.16 12:20]  1.11116
[126: Tue 15.03.16 16:20]  1.11163
[127: Tue 15.03.16 20:20]  1.10972
[128: Wed 16.03.16 00:20]  1.11130
[129: Wed 16.03.16 04:20]  1.11076
[130: Wed 16.03.16 08:20]  1.11012
[131: Wed 16.03.16 12:20]  1.10881
[132: Wed 16.03.16 16:20]  1.10856
[133: Wed 16.03.16 20:20]  1.10801
[134: Thu 17.03.16 00:20]  1.12254
[135: Thu 17.03.16 04:20]  1.12113
[136: Thu 17.03.16 08:20]  1.12189
[137: Thu 17.03.16 12:20]  1.12903
[138: Thu 17.03.16 16:20]  1.13025
[139: Thu 17.03.16 20:20]  1.13260
[140: Fri 18.03.16 00:20]  1.13201
[141: Fri 18.03.16 04:20]  1.13182
[142: Fri 18.03.16 08:20]  1.13133
[143: Fri 18.03.16 12:20]  1.12647
[144: Fri 18.03.16 16:20]  1.12829
[145: Mon 21.03.16 00:20]  1.12737
[146: Mon 21.03.16 04:20]  1.12781
[147: Mon 21.03.16 08:20]  1.12703
[148: Mon 21.03.16 12:20]  1.12502
[149: Mon 21.03.16 16:20]  1.12641
[150: Mon 21.03.16 20:20]  1.12431
[151: Tue 22.03.16 00:20]  1.12441
[152: Tue 22.03.16 04:20]  1.12374
[153: Tue 22.03.16 08:20]  1.12511
[154: Tue 22.03.16 12:20]  1.12027
[155: Tue 22.03.16 16:20]  1.12252
[156: Tue 22.03.16 20:20]  1.12107
[157: Wed 23.03.16 00:20]  1.12182
[158: Wed 23.03.16 04:20]  1.12152
[159: Wed 23.03.16 08:20]  1.12058
[160: Wed 23.03.16 12:20]  1.11864
[161: Wed 23.03.16 16:20]  1.11701
[162: Wed 23.03.16 20:20]  1.11695
[163: Thu 24.03.16 00:20]  1.11862
[164: Thu 24.03.16 04:20]  1.11802
[165: Thu 24.03.16 08:20]  1.11725
[166: Thu 24.03.16 12:20]  1.11663
[167: Thu 24.03.16 16:20]  1.11644
[168: Thu 24.03.16 20:20]  1.11728
[169: Fri 25.03.16 00:20]  1.11776
[170: Fri 25.03.16 04:20]  1.11659
[171: Fri 25.03.16 08:20]  1.11602
[172: Fri 25.03.16 12:20]  1.11667
[173: Fri 25.03.16 16:20]  1.11653
[174: Mon 28.03.16 00:20]  1.11655
[175: Mon 28.03.16 04:20]  1.11590
