
Assets.............
Walk-Forward Test: Z1 portfolio 2010..2016
Read Z12.fac
Read Z12_1.par
Read Z12_2.par
Read Z12_3.par
Read Z12_4.par
Read Z12_5.par
Read Z12_6.par
Read Z12_7.par
Read Z12_8.par
Read Z12_9.par
Read Z12_10.par
[4412: Mon 29.10.12 20:00]  4: 04412
[4413: Tue 30.10.12 00:00]  4: 04413
[4414: Tue 30.10.12 04:00]  4: 04414
[4415: Tue 30.10.12 08:00]  4: 04415
[4416: Tue 30.10.12 12:00]  4: 04416
[4417: Tue 30.10.12 16:00]  4: 04417
[4418: Tue 30.10.12 20:00]  4: 04418
[4419: Wed 31.10.12 00:00]  4: 04419
[4420: Wed 31.10.12 04:00]  4: 04420
[4421: Wed 31.10.12 08:00]  4: 04421
[4422: Wed 31.10.12 12:00]  4: 04422
[4423: Wed 31.10.12 16:00]  4: 04423
[4424: Wed 31.10.12 20:00]  4: 04424
[4425: Thu 01.11.12 00:00]  4: 04425
[4426: Thu 01.11.12 04:00]  4: 04426
[4427: Thu 01.11.12 08:00]  4: 04427
[4428: Thu 01.11.12 12:00]  4: 04428
[4429: Thu 01.11.12 16:00]  4: 04429
[4430: Thu 01.11.12 20:00]  4: 04430
[4431: Fri 02.11.12 00:00]  4: 04431
[4432: Fri 02.11.12 04:00]  4: 04432
[4433: Fri 02.11.12 08:00]  4: 04433
[4434: Fri 02.11.12 12:00]  4: 04434
[4435: Fri 02.11.12 16:00]  4: 04435
[4436: Sun 04.11.12 20:00]  4: 04436
[4437: Mon 05.11.12 00:00]  4: 04437
[4438: Mon 05.11.12 04:00]  4: 04438
[4439: Mon 05.11.12 08:00]  4: 04439
[4440: Mon 05.11.12 12:00]  4: 04440
[4441: Mon 05.11.12 16:00]  4: 04441
[4442: Mon 05.11.12 20:00]  4: 04442
[4443: Tue 06.11.12 00:00]  4: 04443
[4444: Tue 06.11.12 04:00]  4: 04444
[4445: Tue 06.11.12 08:00]  4: 04445
[4446: Tue 06.11.12 12:00]  4: 04446
[4447: Tue 06.11.12 16:00]  4: 04447
[4448: Tue 06.11.12 20:00]  4: 04448
[4449: Wed 07.11.12 00:00]  4: 04449
[4450: Wed 07.11.12 04:00]  4: 04450
[4451: Wed 07.11.12 08:00]  4: 04451
[4452: Wed 07.11.12 12:00]  4: 04452
[4453: Wed 07.11.12 16:00]  4: 04453
[4454: Wed 07.11.12 20:00]  4: 04454
[4455: Thu 08.11.12 00:00]  4: 04455
[4456: Thu 08.11.12 04:00]  4: 04456
[4457: Thu 08.11.12 08:00]  4: 04457
[4458: Thu 08.11.12 12:00]  4: 04458
[4459: Thu 08.11.12 16:00]  4: 04459
[4460: Thu 08.11.12 20:00]  4: 04460
[4461: Fri 09.11.12 00:00]  4: 04461
[4462: Fri 09.11.12 04:00]  4: 04462
[4463: Fri 09.11.12 08:00]  4: 04463
[4464: Fri 09.11.12 12:00]  4: 04464
[4465: Fri 09.11.12 16:00]  4: 04465
[4466: Sun 11.11.12 20:00]  4: 04466
[4467: Mon 12.11.12 00:00]  4: 04467
[4468: Mon 12.11.12 04:00]  4: 04468
[4469: Mon 12.11.12 08:00]  4: 04469
[4470: Mon 12.11.12 12:00]  4: 04470
[4471: Mon 12.11.12 16:00]  4: 04471
[4472: Mon 12.11.12 20:00]  4: 04472
[4473: Tue 13.11.12 00:00]  4: 04473
[4474: Tue 13.11.12 04:00]  4: 04474
[4475: Tue 13.11.12 08:00]  4: 04475
[4476: Tue 13.11.12 12:00]  4: 04476
[4477: Tue 13.11.12 16:00]  4: 04477
[4478: Tue 13.11.12 20:00]  4: 04478
[4479: Wed 14.11.12 00:00]  4: 04479
[4480: Wed 14.11.12 04:00]  4: 04480
[4481: Wed 14.11.12 08:00]  4: 04481
[4482: Wed 14.11.12 12:00]  4: 04482
[4483: Wed 14.11.12 16:00]  4: 04483
