Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
VO,Short,GBP/USD,477504,3,2013-01-24 20:01,2013-01-31 20:00,1.5791,1.5859,-18.02,0.00,Sold
VO,Short,GBP/USD,478508,3,2013-01-28 12:01,2013-01-31 20:00,1.5707,1.5859,-39.86,0.00,Sold
CY,Long,XAU/USD,478510,3,2013-01-28 12:02,2013-01-31 20:00,1655,1661,14.59,0.00,Sold
HU,Short,NAS100,480014,13,2013-01-31 00:02,2013-02-01 08:00,2739,2739,0.58,0.00,Sold
HP,Short,USD/CAD,477301,6,2013-01-24 12:01,2013-02-01 12:00,1.0013,0.9995,6.88,0.00,Sold
CY,Short,XAU/USD,480517,3,2013-01-31 20:01,2013-02-01 14:20,1661,1676,-39.80,0.00,Stop
LP,Long,GBP/USD,480516,4,2013-01-31 20:01,2013-02-01 21:37,1.5859,1.5696,-57.22,0.00,Stop
A2,Short,GBP/USD,480013,3,2013-01-31 00:01,2013-02-04 16:00,1.5798,1.5739,15.19,0.00,Sold
CY,Short,USD/CAD,477906,7,2013-01-25 12:01,2013-02-04 20:00,1.0044,0.9980,30.70,0.00,Sold
CY,Short,USD/CAD,478509,7,2013-01-28 12:01,2013-02-04 20:00,1.0096,0.9980,56.32,0.00,Sold
HU,Long,NAS100,480820,15,2013-02-01 08:01,2013-02-04 20:00,2739,2725,-18.71,0.00,Sold
HU,Short,NAS100,481732,13,2013-02-04 20:02,2013-02-05 20:00,2723,2762,-44.17,0.00,Sold
VO,Short,GBP/USD,481224,3,2013-02-04 00:01,2013-02-07 16:00,1.5702,1.5703,-0.20,0.00,Sold
A2,Long,GBP/USD,481628,3,2013-02-04 16:01,2013-02-08 12:00,1.5737,1.5747,2.53,0.00,Sold
VO,Long,USD/JPY,481225,4,2013-02-04 00:01,2013-02-08 12:00,92.75,92.47,-8.62,0.00,Sold
VO,Long,USD/JPY,482237,4,2013-02-05 16:01,2013-02-08 12:00,93.42,92.47,-28.37,0.00,Sold
HU,Short,GBP/USD,481023,3,2013-02-01 16:01,2013-02-08 15:57,1.5748,1.5840,-24.23,0.00,Stop
VO,Short,AUD/USD,482639,5,2013-02-06 08:01,2013-02-08 16:00,1.0322,1.0325,-2.56,-1.02,Sold
VO,Short,AUD/USD,482740,5,2013-02-06 12:01,2013-02-08 16:00,1.0316,1.0325,-5.19,-0.76,Sold
A2,Short,USD/JPY,478007,5,2013-01-25 16:01,2013-02-11 08:00,91.00,92.65,-61.67,0.00,Sold
CY,Long,USD/CAD,481731,7,2013-02-04 20:01,2013-02-12 08:00,0.9981,1.0066,41.05,0.00,Sold
CY,Long,USD/CAD,482841,7,2013-02-06 16:01,2013-02-12 08:00,0.9966,1.0066,48.33,0.00,Sold
HU,Short,UK100,481629,4,2013-02-04 16:01,2013-02-12 16:35,6243,6342,-52.26,0.00,Stop
A2,Short,GBP/USD,483948,3,2013-02-08 12:01,2013-02-12 20:00,1.5748,1.5655,24.19,0.00,Sold
VO,Short,GBP/USD,484654,3,2013-02-11 16:01,2013-02-12 20:00,1.5664,1.5655,2.19,0.00,Sold
VO,Long,USD/CAD,481733,6,2013-02-04 20:02,2013-02-12 20:00,0.9981,1.0029,19.74,0.00,Sold
VO,Long,USD/CAD,483543,6,2013-02-07 20:01,2013-02-12 20:00,0.9981,1.0029,19.70,0.00,Sold
VO,Long,USD/JPY,484756,4,2013-02-11 20:01,2013-02-12 20:00,93.43,93.54,3.13,0.00,Sold
HU,Long,USD/JPY,484553,4,2013-02-11 12:01,2013-02-12 20:00,93.34,93.54,5.58,0.00,Sold
HU,Short,XAG/USD,480518,5,2013-01-31 20:02,2013-02-13 04:00,31.38,31.20,37.91,0.00,Sold
CT,Long,AUD/USD,477705,4,2013-01-25 04:01,2013-02-13 20:00,1.0443,1.0342,-32.84,2.50,Sold
HU,Short,USD/JPY,485361,4,2013-02-12 20:01,2013-02-14 08:00,93.53,93.46,1.83,0.00,Sold
CY,Long,AUD/USD,480619,6,2013-02-01 00:01,2013-02-14 16:00,1.0431,1.0359,-35.76,2.59,Sold
CY,Long,AUD/USD,481326,6,2013-02-04 04:01,2013-02-14 16:00,1.0425,1.0359,-32.81,2.30,Sold
CY,Long,XAU/USD,485362,3,2013-02-12 20:02,2013-02-14 17:15,1651,1635,-41.77,0.00,Stop
CT,Short,AUD/USD,485964,5,2013-02-13 20:01,2013-02-18 08:00,1.0343,1.0295,19.85,-1.02,Sold
CY,Short,AUD/USD,486467,5,2013-02-14 16:01,2013-02-19 00:00,1.0360,1.0317,17.65,-0.51,Sold
HU,Short,UK100,486468,4,2013-02-14 16:01,2013-02-19 12:00,6338,6339,-0.73,0.00,Sold
A2,Long,GBP/USD,485360,3,2013-02-12 20:01,2013-02-20 09:45,1.5653,1.5332,-83.93,0.00,Stop
CY,Long,XAU/USD,487572,3,2013-02-18 12:01,2013-02-20 10:52,1612,1595,-44.79,0.00,Stop
CY,Long,GBP/USD,481730,4,2013-02-04 20:01,2013-02-20 19:01,1.5767,1.5263,-175.75,0.00,Stop
A2,Long,GBP/USD,486366,3,2013-02-14 12:01,2013-02-21 05:25,1.5509,1.5181,-85.95,0.00,Stop
HU,Long,GER30,480921,4,2013-02-01 12:01,2013-02-21 08:00,7791,7686,-42.19,0.00,Sold
HU,Long,UK100,488175,4,2013-02-19 12:01,2013-02-21 12:00,6337,6287,-26.24,0.00,Sold
VO,Short,GBP/USD,485863,3,2013-02-13 16:01,2013-02-21 16:00,1.5543,1.5257,74.47,0.00,Sold
